Organization ID,Organization Name,link,Completed T&C
45919,California Mock Trial,https://callink.berkeley.edu/actioncenter/organization/californiamocktrial/roster/Roster/terms,4
46088,California Public Interest Research Group ,https://callink.berkeley.edu/actioncenter/organization/calpirg/roster/Roster/terms,3
45920,CalSol ,https://callink.berkeley.edu/actioncenter/organization/calsol/roster/Roster/terms,4
375790,Career Readiness Program at Berkeley ,https://callink.berkeley.edu/actioncenter/organization/CRPatBerkeley/roster/Roster/terms,1
46681,Catholic Students at Cal - Newman Hall ,https://callink.berkeley.edu/actioncenter/organization/catholicsatcal/roster/Roster/terms,3
91902,Chess Club at Berkeley ,https://callink.berkeley.edu/actioncenter/organization/ccab/roster/Roster/terms,4
45923,Chi Epsilon - Civil Engineering Honor Society,https://callink.berkeley.edu/actioncenter/organization/chiepsilon/roster/Roster/terms,3
45925,Chinese People Union,https://callink.berkeley.edu/actioncenter/organization/chinesepeopleunion/roster/Roster/terms,4
46661,Chun Jin Ahm ,https://callink.berkeley.edu/actioncenter/organization/chunjinahm/roster/Roster/terms,3
91900,Climbing Team of Berkeley ,https://callink.berkeley.edu/actioncenter/organization/climbingteam/roster/Roster/terms,2
91287,Codeology,https://callink.berkeley.edu/actioncenter/organization/codeology/roster/Roster/terms,3
123064,Computer Science Mentors,https://callink.berkeley.edu/actioncenter/organization/csm/roster/Roster/terms,4
46563,Creative Applications to Life in Origami ,https://callink.berkeley.edu/actioncenter/organization/CALOrigami/roster/Roster/terms,4
368855,DAES Black Film Collective,https://callink.berkeley.edu/actioncenter/organization/daesblackfilm/roster/Roster/terms,5
342892,Dance Games at Berkeley ,https://callink.berkeley.edu/actioncenter/organization/dancegames/roster/Roster/terms,2
45935,Danceworx,https://callink.berkeley.edu/actioncenter/organization/danceworx/roster/Roster/terms,2
320218,DataGood at Berkeley,https://callink.berkeley.edu/actioncenter/organization/datagood/roster/Roster/terms,3
71335,Debate Society of Berkeley,https://callink.berkeley.edu/actioncenter/organization/BerkeleyDebate/roster/Roster/terms,2
45937,DeCadence,https://callink.berkeley.edu/actioncenter/organization/decadence/roster/Roster/terms,3
82715,Defenders at Berkeley (Formerly Criminal Defense Society) ,https://callink.berkeley.edu/actioncenter/organization/DefendersatBerkeley/roster/Roster/terms,3
361433,Digital Illustration and Concept Art at Berkeley ,https://callink.berkeley.edu/actioncenter/organization/digitalillustrationandconceptartatberkeley/roster/Roster/terms,4
46385,Ecology Law Quarterly,https://callink.berkeley.edu/actioncenter/organization/ecologylawquarterly/roster/Roster/terms,3
384615,Elder Welfare Mentorship ,https://callink.berkeley.edu/actioncenter/organization/elderwelfarementorship/roster/Roster/terms,2
46478,"Electrochemical Society, Student Chapter of Berkeley",https://callink.berkeley.edu/actioncenter/organization/ecsberkeley/roster/Roster/terms,3
91862,Engineering and Project Management Society ,https://callink.berkeley.edu/actioncenter/organization/epms/roster/Roster/terms,3
146431,Engineering Solutions at Berkeley,https://callink.berkeley.edu/actioncenter/organization/esberkeley/roster/Roster/terms,3
46024,Engineers and Mentors of Berkeley,https://callink.berkeley.edu/actioncenter/organization/beam/roster/Roster/terms,3
159392,Entomology Club ,https://callink.berkeley.edu/actioncenter/organization/entomology/roster/Roster/terms,3
376914,Entrepreneur Through Acquisition Club ,https://callink.berkeley.edu/actioncenter/organization/EntrepreneurThroughAcquisitionClub/roster/Roster/terms,3
91555,Epsilon Eta,https://callink.berkeley.edu/actioncenter/organization/epsilon_eta/roster/Roster/terms,3
70474,ESPM Graduate Diversity Council ,https://callink.berkeley.edu/actioncenter/organization/espmgdc/roster/Roster/terms,4
46398,ESPM Graduate Student Association,https://callink.berkeley.edu/actioncenter/organization/espmgsa/roster/Roster/terms,4
46127,FeelGood ,https://callink.berkeley.edu/actioncenter/organization/feelgood/roster/Roster/terms,3
91236,Fiat Lux Scholars Association,https://callink.berkeley.edu/actioncenter/organization/fiatluxberkeley/roster/Roster/terms,3
351383,Fighting for Hope at Berkeley ,https://callink.berkeley.edu/actioncenter/organization/fightingforhopeatberkeley/roster/Roster/terms,2
92103,Finance Excellence & Development Society,https://callink.berkeley.edu/actioncenter/organization/feds/roster/Roster/terms,2
92098,FoCUS ,https://callink.berkeley.edu/actioncenter/organization/FoCUS/roster/Roster/terms,4
45953,For Christ's Sake,https://callink.berkeley.edu/actioncenter/organization/forchristssake/roster/Roster/terms,2
45955,Formula SAE (Society of Automotive Engineers),https://callink.berkeley.edu/actioncenter/organization/formulasae/roster/Roster/terms,4
91878,"Free Peach, The",https://callink.berkeley.edu/actioncenter/organization/TheFreePeach/roster/Roster/terms,3
166242,Garb,https://callink.berkeley.edu/actioncenter/organization/Garb/roster/Roster/terms,2
351501,Genshin at Berkeley ,https://callink.berkeley.edu/actioncenter/organization/genshinatberkeley/roster/Roster/terms,3
221256,Graduate Architecture Student Union,https://callink.berkeley.edu/actioncenter/organization/cedgasu/roster/Roster/terms,4
91932,Haas Beer Club,https://callink.berkeley.edu/actioncenter/organization/HaasBeerClub/roster/Roster/terms,3
46288,Haas Healthcare Association ,https://callink.berkeley.edu/actioncenter/organization/haashealthcareassociation/roster/Roster/terms,3
91547,Haas Venture Capital Club,https://callink.berkeley.edu/actioncenter/organization/haasventurecapitalclub/roster/Roster/terms,3
378404,"Health, Education, and Life ",https://callink.berkeley.edu/actioncenter/organization/HealthEducationandLife/roster/Roster/terms,2
221241,Healthcare Consulting Group at Berkeley,https://callink.berkeley.edu/actioncenter/organization/HCGatBerkeley/roster/Roster/terms,3
303905,IEEE Power and Energy at Berkeley,https://callink.berkeley.edu/actioncenter/organization/ieeepowerenergy/roster/Roster/terms,3
91280,Institute of Industrial and Systems Engineers,https://callink.berkeley.edu/actioncenter/organization/iise/roster/Roster/terms,4
45968,Institute of Transportation Engineers at UC Berkeley ,https://callink.berkeley.edu/actioncenter/organization/Cal_ITE/roster/Roster/terms,5
289736,International Consulting Club at Berkeley,https://callink.berkeley.edu/actioncenter/organization/BerkeleyIntConsulting/roster/Roster/terms,3
325447,International Healthcare Association,https://callink.berkeley.edu/actioncenter/organization/ihca/roster/Roster/terms,4
46607,International Law Society ,https://callink.berkeley.edu/actioncenter/organization/edu/roster/Roster/terms,3
45974,InterVarsity Christian Fellowship,https://callink.berkeley.edu/actioncenter/organization/intervarsitychristianfellowship/roster/Roster/terms,3
45975,Iranian Student Association in America,https://callink.berkeley.edu/actioncenter/organization/iranianstudentallianceinamerica/roster/Roster/terms,2
45978,Italian Society at Berkeley ,https://callink.berkeley.edu/actioncenter/organization/italiansocietyatberkeley/roster/Roster/terms,2
91456,Jewish Students Association at Berkeley Law ,https://callink.berkeley.edu/actioncenter/organization/jsabl/roster/Roster/terms,2
123317,Jugger at Berkeley ,https://callink.berkeley.edu/actioncenter/organization/jugger/roster/Roster/terms,3
342064,Kerusso Fellowship ,https://callink.berkeley.edu/actioncenter/organization/kerusso/roster/Roster/terms,3
46752,Korean Graduate Students Association,https://callink.berkeley.edu/actioncenter/organization/KGSA/roster/Roster/terms,3
46154,Labor Coach Program,https://callink.berkeley.edu/actioncenter/organization/laborcoachprogram/roster/Roster/terms,3
46553,Latino/a Association of Graduate Students in Engineering and Science ,https://callink.berkeley.edu/actioncenter/organization/LAGSES/roster/Roster/terms,5
46558,Law Students of African Descent ,https://callink.berkeley.edu/actioncenter/organization/galawstudentsofafricandescent/roster/Roster/terms,4
137707,"Literary Society of Berkeley, The (Formerly The Book Club of Berkeley)",https://callink.berkeley.edu/actioncenter/organization/thebookclub/roster/Roster/terms,4
361707,Love Stories Book Club ,https://callink.berkeley.edu/actioncenter/organization/lovestoriesbookclub/roster/Roster/terms,3
91444,Low Vision Club at Berkeley,https://callink.berkeley.edu/actioncenter/organization/lowvisionclubatberkeley/roster/Roster/terms,3
351500,LUXX ,https://callink.berkeley.edu/actioncenter/organization/luxx/roster/Roster/terms,8
143254,Machine Learning at Berkeley,https://callink.berkeley.edu/actioncenter/organization/mlab/roster/Roster/terms,3
46547,Materials Science and Engineering Graduate Student Council ,https://callink.berkeley.edu/actioncenter/organization/gamaterialsscienceandengineeringGSC/roster/Roster/terms,3
91296,Mathematics Undergraduate Student Association ,https://callink.berkeley.edu/actioncenter/organization/musa/roster/Roster/terms,3
91498,Matriculate,https://callink.berkeley.edu/actioncenter/organization/matriculate/roster/Roster/terms,2
232271,Medical Reallocation Initiative ,https://callink.berkeley.edu/actioncenter/organization/MRI/roster/Roster/terms,1
301968,Middle Eastern Business Association,https://callink.berkeley.edu/actioncenter/organization/meba/roster/Roster/terms,3
46006,Mixed @ Berkeley Recruitment and Retention Center - MRRC (formerly Mixed Student Union - MSU),https://callink.berkeley.edu/actioncenter/organization/mixed/roster/Roster/terms,2
385233,MotoStudent of California,https://callink.berkeley.edu/actioncenter/organization/MotoStudentofCalifornia/roster/Roster/terms,2
377374,Muslim Tech Collaborative ,https://callink.berkeley.edu/actioncenter/organization/mtc/roster/Roster/terms,2
46583,Natya at Berkeley,https://callink.berkeley.edu/actioncenter/organization/natyaatberkeley/roster/Roster/terms,2
46076,Net Impact Berkeley,https://callink.berkeley.edu/actioncenter/organization/netimpactberkeley/roster/Roster/terms,2
361222,NewSpace at Berkeley,https://callink.berkeley.edu/actioncenter/organization/newspaceatberkeley/roster/Roster/terms,2
46678,Nigerian Students Association,https://callink.berkeley.edu/actioncenter/organization/nigerianstudentsassociation/roster/Roster/terms,4
54272,Noteworthy A Cappella,https://callink.berkeley.edu/actioncenter/organization/noteworthy/roster/Roster/terms,3
160637,Nova Consulting,https://callink.berkeley.edu/actioncenter/organization/berkeleynova/roster/Roster/terms,3
46186,Oakland Asian Student Educational Services ,https://callink.berkeley.edu/actioncenter/organization/oaklandasianstudenteducationalservices/roster/Roster/terms,3
368435,Open Project,https://callink.berkeley.edu/actioncenter/organization/openproject/roster/Roster/terms,3
122285,Outlet ,https://callink.berkeley.edu/actioncenter/organization/outlet/roster/Roster/terms,4
302876,Paper Crane,https://callink.berkeley.edu/actioncenter/organization/papercrane/roster/Roster/terms,3
46426,Parliamentary Debate at Berkeley,https://callink.berkeley.edu/actioncenter/organization/pdb/roster/Roster/terms,2
46021,Partnership for Pre-Professional Pilipinxs ,https://callink.berkeley.edu/actioncenter/organization/p4/roster/Roster/terms,1
157530,Phoenix Consulting Group,https://callink.berkeley.edu/actioncenter/organization/phoenixconsulting/roster/Roster/terms,3
91822,Pi Sigma Epsilon,https://callink.berkeley.edu/actioncenter/organization/PSE/roster/Roster/terms,4
46027,Pilipino American Alliance ,https://callink.berkeley.edu/actioncenter/organization/PAA/roster/Roster/terms,3
46031,"Pilipinx Association of Scientists, Architects, and Engineers",https://callink.berkeley.edu/actioncenter/organization/PASAE/roster/Roster/terms,2
342455,Plaintiffs' Law Association ,https://callink.berkeley.edu/actioncenter/organization/plaintiffslawassociation/roster/Roster/terms,3
91920,Pokemon Club at Berkeley ,https://callink.berkeley.edu/actioncenter/organization/pokemonclub/roster/Roster/terms,4
91921,Policy Debate (Cal Debate),https://callink.berkeley.edu/actioncenter/organization/policydebate/roster/Roster/terms,2
46697,Pre-Nursing Society ,https://callink.berkeley.edu/actioncenter/organization/prenursingsociety/roster/Roster/terms,0
161801,qui parle: Critical Humanities and Social Sciences,https://callink.berkeley.edu/actioncenter/organization/quiparle/roster/Roster/terms,2
46041,Ra-On,https://callink.berkeley.edu/actioncenter/organization/raon/roster/Roster/terms,3
46574,Rubik's Cube Club at Berkeley ,https://callink.berkeley.edu/actioncenter/organization/cubing/roster/Roster/terms,3
144536,Saudi Arabian Association at Berkeley,https://callink.berkeley.edu/actioncenter/organization/saab/roster/Roster/terms,3
303802,Scholars of Finance ,https://callink.berkeley.edu/actioncenter/organization/scholarsoffinance/roster/Roster/terms,3
91882,Science Fiction and Fantasy Short Story Workshop ,https://callink.berkeley.edu/actioncenter/organization/SFFWW/roster/Roster/terms,3
91938,SCUBA at Berkeley ,https://callink.berkeley.edu/actioncenter/organization/SCUBA/roster/Roster/terms,2
289451,SDG Undergraduate Research Group,https://callink.berkeley.edu/actioncenter/organization/sdgundergradresearch/roster/Roster/terms,2
321650,SEAONC at Berkeley,https://callink.berkeley.edu/actioncenter/organization/seaonc/roster/Roster/terms,4
46054,Sigma Mu Delta,https://callink.berkeley.edu/actioncenter/organization/sigmamudelta/roster/Roster/terms,4
116202,Social Welfare Association for the Greater Good,https://callink.berkeley.edu/actioncenter/organization/SWAGG/roster/Roster/terms,2
91678,Society for the Study of Modern Visual Culture at Berkeley,https://callink.berkeley.edu/actioncenter/organization/societyforthestudyofmodernvisualculture/roster/Roster/terms,2
91434,Society of Physics Students at Berkeley ,https://callink.berkeley.edu/actioncenter/organization/sps/roster/Roster/terms,1
46346,South Asian Law Students Association,https://callink.berkeley.edu/actioncenter/organization/berkeleysalsa/roster/Roster/terms,3
139699,Space Technologies and Rocketry ,https://callink.berkeley.edu/actioncenter/organization/STAR/roster/Roster/terms,4
46480,SPICMACAY at Berkeley ,https://callink.berkeley.edu/actioncenter/organization/spicmacay/roster/Roster/terms,3
117789,Splash at Berkeley ,https://callink.berkeley.edu/actioncenter/organization/splash/roster/Roster/terms,3
92170,Stiles Hall ,https://callink.berkeley.edu/actioncenter/organization/stileshall/roster/Roster/terms,3
368511,Student Association for Environmental Justice and Health Equity ,https://callink.berkeley.edu/actioncenter/organization/sa-ejhe/roster/Roster/terms,4
46431,Student Nutrition Advocacy Club,https://callink.berkeley.edu/actioncenter/organization/snac/roster/Roster/terms,4
324164,Students vs Pandemics at Berkeley ,https://callink.berkeley.edu/actioncenter/organization/studentsvspandemics/roster/Roster/terms,3
361435,Sustainable Entrepreneurship at Berkeley,https://callink.berkeley.edu/actioncenter/organization/sustainableentrepreneurshipatberkeley/roster/Roster/terms,3
219266,Swim Club at Berkeley ,https://callink.berkeley.edu/actioncenter/organization/swimclubatberkeley/roster/Roster/terms,2
46078,Taiwanese Student Association ,https://callink.berkeley.edu/actioncenter/organization/taiwanesestudentassociation/roster/Roster/terms,4
59918,TBD Comedy,https://callink.berkeley.edu/actioncenter/organization/ToBeDetermined/roster/Roster/terms,3
368510,The 510,https://callink.berkeley.edu/actioncenter/organization/510/roster/Roster/terms,3
45888,The Berkeley Group,https://callink.berkeley.edu/actioncenter/organization/theberkeleygroup/roster/Roster/terms,4
360320,The Rebel Alliance of California ,https://callink.berkeley.edu/actioncenter/organization/TRAC/roster/Roster/terms,3
46690,Toxicology Student Association of Berkeley ,https://callink.berkeley.edu/actioncenter/organization/ToxSA/roster/Roster/terms,3
91347,Transportation Team at Berkeley ,https://callink.berkeley.edu/actioncenter/organization/transpo/roster/Roster/terms,5
46093,Undergraduate Economics Association,https://callink.berkeley.edu/actioncenter/organization/uea/roster/Roster/terms,4
46095,Undergraduate Marketing Association,https://callink.berkeley.edu/actioncenter/organization/undergraduatemarketingassociation/roster/Roster/terms,2
221131,Undergraduate Street Medicine Outreach,https://callink.berkeley.edu/actioncenter/organization/UndergraduateStreetMedOutreach/roster/Roster/terms,3
145707,Undergraduate Women in Economics at Berkeley ,https://callink.berkeley.edu/actioncenter/organization/uweb/roster/Roster/terms,4
156531,Underwater Robotics at Berkeley ,https://callink.berkeley.edu/actioncenter/organization/urobotics/roster/Roster/terms,1
302472,United Geographers Society of Berkeley ,https://callink.berkeley.edu/actioncenter/organization/bugs/roster/Roster/terms,2
92130,Unity in Christ,https://callink.berkeley.edu/actioncenter/organization/unityinchrist/roster/Roster/terms,2
358436,UX @ Berkeley,https://callink.berkeley.edu/actioncenter/organization/uxatberkeley/roster/Roster/terms,2
91857,Venture Strategy Solutions Consulting,https://callink.berkeley.edu/actioncenter/organization/Venture/roster/Roster/terms,2
46648,Veritas Graduate Christian Fellowship ,https://callink.berkeley.edu/actioncenter/organization/veritasfellowship/roster/Roster/terms,3
360313,Vertical Farming at Berkeley,https://callink.berkeley.edu/actioncenter/organization/verticalfarmingatberkeley/roster/Roster/terms,3
46104,Vietnamese Student Association ,https://callink.berkeley.edu/actioncenter/organization/calvsa/roster/Roster/terms,3
46203,Volunteer Health Interpreters Organization,https://callink.berkeley.edu/actioncenter/organization/vhio/roster/Roster/terms,4
92059,Volunteer Income Tax Assistance Program,https://callink.berkeley.edu/actioncenter/organization/vita/roster/Roster/terms,3
76135,Voyager Consulting,https://callink.berkeley.edu/actioncenter/organization/voyagerconsulting/roster/Roster/terms,3
220141,Wellspring at Berkeley,https://callink.berkeley.edu/actioncenter/organization/WellspringatBerkeley/roster/Roster/terms,3
46333,Womxn of Color Collective ,https://callink.berkeley.edu/actioncenter/organization/gawomenofcolorcollective/roster/Roster/terms,4
160890,Yemeni Student Association of Berkeley ,https://callink.berkeley.edu/actioncenter/organization/CalYSA/roster/Roster/terms,4
