91245,Environmental Team ??,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/enviro,LEAD Center Category: Environmental & Sustainability RSO,Carli Baker at carli.baker@berkeley.edu
218670,Epsilon Pi at Berkeley,No - Need T&Cs,Approved,5,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/epsilonpi,LEAD Center Category: Engineering/Computer Science RSO,Jon Rey at jonrey@berkeley.edu
351503,Eritrean-Ethiopian Student Association,No - Need T&Cs,Approved,5,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/ucberkeleyeesa,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO,B.B. Bradley (Black/AfAm RSOs) at bradleyb@berkeley.edu
46254,Europe Business Club ??,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/europebusinessclub,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
378438,Expansion Pictures,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/ExpansionPictures,LEAD Center Category: Media & Publications RSO,Melissa Landeros at melissalanderos@berkeley.edu
165193,Faces of African Muslims,No - Need T&Cs,Approved,6,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/www-callinkfam-berkeley-edu,LEAD Center Category: Spiritual RSO,B.B. Bradley (Black/AfAm RSOs) at bradleyb@berkeley.edu
45950,Fashion and Student Trends,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/fashionandstudenttrends,LEAD Center Category: Arts RSO,Luly Sbeta at wsbeta@berkeley.edu
46127,FeelGood ??,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/feelgood,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
351383,Fighting for Hope at Berkeley ??,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/fightingforhopeatberkeley,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
324685,First-Gen and/or Low-Income Graduate Students,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/FGLI_Grads,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
46336,Food at Haas,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/foodathaas,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
45953,For Christ's Sake,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/forchristssake,LEAD Center Category: Performing Arts RSO,Luly Sbeta at wsbeta@berkeley.edu
91590,Freestyles at Berkeley ??,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/FABLE,LEAD Center Category: Performing Arts RSO,Luly Sbeta at wsbeta@berkeley.edu
46463,GA Berkeley Business Law Journal,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/gaberkeleybusinesslawjournal,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
91697,Gamma Phi Beta (Gamma Phi),Not Applicable,Not Applicable,4,In Progress,CalGreeks,https//callink.berkeley.edu/actioncenter/organization/gammaphibeta,LEAD Center Category: CalGreeks Panhellenic Council (PHC) Sororities,Jeff Woods at jeff.woods@berkeley.edu
91685,Gamma Rho Lambda,Not Applicable,Not Applicable,4,In Progress,CalGreeks,https//callink.berkeley.edu/actioncenter/organization/gammarholambda,LEAD Center Category: CalGreeks Multicultural Greek Council (MCGC) Fraternities & Sororities,Jeff Woods at jeff.woods@berkeley.edu
46135,"Gamma Zeta Alpha Fraternity, Inc.",Not Applicable,Not Applicable,6,In Progress,CalGreeks,https//callink.berkeley.edu/actioncenter/organization/gammas,LEAD Center Category: CalGreeks Multicultural Greek Council (MCGC) Fraternities & Sororities,Jeff Woods at jeff.woods@berkeley.edu
368928,Garak,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/garak,LEAD Center Category: Performing Arts RSO,Luly Sbeta at wsbeta@berkeley.edu
166242,Garb,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/Garb,LEAD Center Category: Media & Publications RSO,Melissa Landeros at melissalanderos@berkeley.edu
376909,Generative AI at Berkeley,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/berkeleygenai,LEAD Center Category: Professional RSO,Jon Rey at jonrey@berkeley.edu
351501,Genshin at Berkeley ??,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/genshinatberkeley,LEAD Center Category: Recreational RSO,Millicent Morris-Chaney at millicen@berkeley.edu
137790,Geological Association at Berkeley ??,No - Need T&Cs,Approved,6,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/GAB,OASIS Center Category: Academic RSO,Jon Rey at jonrey@berkeley.edu
290340,GeoWall at Berkeley ??,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/geowall,LEAD Center Category: Engineering/Computer Science RSO,Jon Rey at jonrey@berkeley.edu
378041,Giddha at Berkeley- Soohi Phulkariyan,No - Need T&Cs,Denied,7,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/giddha-at-berkeley-soohiphulkariyan,LEAD Center Category: Performing Arts RSO,Luly Sbeta at wsbeta@berkeley.edu
92014,Girl Up,No - Need T&Cs,Denied,5,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/GirlUp,LEAD Center Category: Cultural & Identity/Women Interest RSO,Melissa Landeros at melissalanderos@berkeley.edu
376133,Glamity at Berkeley,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/GlamityatBerkeley,LEAD Center Category: Performing Arts RSO,Luly Sbeta at wsbeta@berkeley.edu
157900,Golden Records ??,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/GR,LEAD Center Category: Professional RSO,Jon Rey at jonrey@berkeley.edu
46326,Graduate Assembly of Students in Psychology,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/gasp,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
92151,Graduate Computational Mathematics Group ??,No - Need T&Cs,Approved,6,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/GraduateComputationalMathematicsGroup,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
82714,Graduate Economics Association,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/gea,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
368603,Grappling Club at Berkeley (formerly Korea Grappling Club),No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/grapplingclubatberkeley,LEAD Center Category: Recreational RSO,Millicent Morris-Chaney at millicen@berkeley.edu
91594,Greeks Against Sexual Assault at Berkeley (GASA),Not Applicable,Not Applicable,2,In Progress,CalGreeks Affinity Groups,https//callink.berkeley.edu/actioncenter/organization/greeksagainstsexualassault,LEAD Center Category: CalGreeks Fraternity & Sorority Support Organizations,Jeff Woods at jeff.woods@berkeley.edu
46250,Greening the Greeks,Not Applicable,Not Applicable,0,In Progress,CalGreeks Affinity Groups,https//callink.berkeley.edu/actioncenter/organization/greeningthegreeks,LEAD Center Category: CalGreeks Fraternity & Sorority Support Organizations,CalGreeks Advisor Jeffery Woods at jeff.woods@berkeley.edu
56975,Haas Arts Club ??,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/haasartsclub,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
91422,Haas Asia Business Club,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/haasasiabusinessclub,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
91506,Haas Finance Club ??,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/HaasFinanceClub,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
91545,Haas Fintech Club,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/haasfintechclub,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
91331,Haas Investment Club,No - Need T&Cs,Approved,5,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/HaasInvestmentClub,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
91931,Haas Policy and Politics Club ??,No - Need T&Cs,Approved,5,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/HaasPolicyandPoliticsClub,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
91923,Haas Private Equity Club ??,No - Need T&Cs,Approved,5,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/HaasPrivateEquityClub,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
92158,Haas Soccer Club ??,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/HaasSoccerClub,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
92162,Haas Sports Business Club,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/HaasSportsBusinessClub,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
91888,Haas Transportation & Mobility Club,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/HaasTransportationMobilityClub,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
46300,Haas Undergraduate Black Business Association,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/hubba,LEAD Center Category: Professional RSO,B.B. Bradley (Black/AfAm RSOs) at bradleyb@berkeley.edu
91542,Haas Wellness Club ??,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/HaasWellnessClub,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
91518,Haas Wine Club ??,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/Haaswineclub,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
46139,Health and Medical Apprenticeship Program,No - Need T&Cs,Approved,5,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/hmap,OASIS Center Category: Academic RSO,Jon Rey at jonrey@berkeley.edu
221241,Healthcare Consulting Group at Berkeley,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/HCGatBerkeley,LEAD Center Category: Professional RSO,Jon Rey at jonrey@berkeley.edu
218810,Helix @ Berkeley,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/helix,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
46334,Hellenic Student Association at Berkeley,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/gahellenicstudentassociationatberkeley,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
368914,Henna and Rangoli at Berkeley ??,No - Need T&Cs,Approved,8,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/hennaandrangoli,LEAD Center Category: Arts RSO,Luly Sbeta at wsbeta@berkeley.edu
91523,"Hindu YUVA-Youth for Unity, Virtues and Action ??",No - Need T&Cs,Approved,5,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/hindu-yuva,LEAD Center Category: Cultural & Identity/International RSO,Melissa Landeros at melissalanderos@berkeley.edu
91277,History Graduate Association ??,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/historygraduateassociation,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
343234,Hurling Club at Berkeley ??,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/HurlingClub,LEAD Center Category: Recreational RSO,Millicent Morris-Chaney at millicen@berkeley.edu
120911,IDEA Factory,No - Need T&Cs,Approved,7,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/IDEAFactory,LEAD Center Category: Professional RSO,Jon Rey at jonrey@berkeley.edu
91722,Improv4Charity,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/improv4charity,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
350140,In Transcription at Berkeley ??,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/InTranscriptionBerkeley,OASIS Center Category: Academic RSO,Jon Rey at jonrey@berkeley.edu
46339,Infectious Diseases and Immunity PhD Student Group,No - Need T&Cs,Approved,5,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/idiphdstudentgroup,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
368341,Interdisciplinary Studies Field Association,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/interdisciplinarystudiesfa,OASIS Center Category: Academic RSO,Jon Rey at jonrey@berkeley.edu
91646,Interfraternity Council (IFC),Not Applicable,Not Applicable,0,In Progress,CalGreeks Affinity Groups,https//callink.berkeley.edu/actioncenter/organization/inter-fraternitycouncil,LEAD Center Category: CalGreeks Fraternity & Sorority Support Organizations,CalGreeks Advisor Jeffery Woods at jeff.woods@berkeley.edu
45976,Iranian Students Cultural Organization ??,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/ISCO,LEAD Center Category: Spiritual RSO,Luly Sbeta at wsbeta@berkeley.edu
45978,Italian Society at Berkeley ??,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/italiansocietyatberkeley,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
91370,Jeff's super cool fraternity,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/jeffssupercoolfraternity,LEAD Center Category: CalGreeks Interfraternity Council (IFC) Fraternities,Jeff Woods at jeff.woods@berkeley.edu
45979,Jericho!,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/jericho,LEAD Center Category: Performing Arts RSO,Luly Sbeta at wsbeta@berkeley.edu
91456,Jewish Students Association at Berkeley Law ??,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/jsabl,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
221473,Jewish Voice for Peace at Berkeley,No,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/jvpatucberkeley,LEAD Center Category: Political & Advocacy RSO,Luly Sbeta at wsbeta@berkeley.edu
